ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
62612,2150,51725,0.860465116
62613,5080,126207,0.897637795
62615,6680,157115,0.911676647
62617,700,14932,0.857142857
62618,9740,151469,0.926078029
62621,1270,30254,0.866141732
62624,500,10882,0.84
62625,1110,41037,0.864864865
62626,8820,212700,0.868480726
62627,1090,24807,0.880733945
62628,960,23397,0.875
62629,19240,592096,0.909043659
62630,560,12181,0.875
62631,390,10514,0.897435897
62633,760,18019,0.855263158
62634,1000,29044,0.86
62635,910,22642,0.868131868
62638,1580,40881,0.879746835
62639,310,6942,0.870967742
62640,4070,96447,0.85995086
62642,1540,36887,0.863636364
62643,560,11301,0.892857143
62644,5040,113447,0.859126984
62649,600,11898,0.9
62650,25260,624705,0.865399842
62655,600,10778,0.9
62656,17980,416038,0.867074527
62661,1530,38441,0.888888889
62664,3120,72026,0.858974359
62665,1450,25984,0.868965517
62666,680,15463,0.882352941
62667,580,14480,0.844827586
62668,1580,39044,0.867088608
62670,3950,116314,0.888607595
62671,660,16090,0.878787879
62673,540,12460,0.888888889
62674,1470,30585,0.857142857
62675,6930,208181,0.854256854
62677,3150,111173,0.866666667
62681,5520,128743,0.864130435
62682,940,20190,0.872340426
62684,6990,234010,0.892703863
62685,2110,50245,0.862559242
62688,740,19574,0.837837838
62690,4300,91869,0.879069767
62691,2610,63940,0.862068966
62692,2360,53228,0.868644068
62693,2310,66813,0.891774892
62694,3650,86983,0.873972603
62701,560,25269,0.839285714
62702,36080,719438,0.881097561
62703,30580,511442,0.894375409
62704,43630,1582188,0.858812744
62707,8300,252960,0.842168675
62711,21910,1149074,0.831127339
62712,12680,557840,0.862776025
62801,21210,423119,0.87553041
62803,1110,31951,0.873873874
62806,3850,82592,0.872727273
62807,1010,19456,0.881188119
62808,1620,34001,0.87654321
62809,330,7226,0.909090909
62810,1330,23189,0.887218045
62812,11950,239694,0.886192469
62814,2280,42716,0.894736842
62815,390,6986,0.871794872
62816,1280,25482,0.875
62817,630,12285,0.873015873
62818,400,8231,0.85
62819,430,6615,0.88372093
62821,7640,178388,0.863874346
62822,2910,50398,0.883161512
62823,1980,36987,0.878787879
62824,1870,33980,0.860962567
62827,1240,27460,0.879032258
62828,1560,40871,0.871794872
62830,1590,32402,0.893081761
62831,640,13864,0.84375
62832,9830,198198,0.885045778
62833,410,9172,0.853658537
62835,1220,26254,0.868852459
62836,970,18557,0.907216495
62837,9550,194700,0.873298429
62838,1900,34133,0.889473684
62839,7390,143405,0.890392422
62842,890,17208,0.887640449
62844,2130,43554,0.877934272
62846,750,13612,0.893333333
62849,2530,49710,0.901185771
62850,510,6467,0.921568627
62851,350,7222,0.885714286
62853,1060,22332,0.877358491
62854,1860,34210,0.876344086
62858,3220,68893,0.875776398
62859,6110,123998,0.882160393
62860,660,14315,0.878787879
62862,350,8559,0.828571429
62863,10770,263151,0.871866295
62864,26240,569617,0.883384146
62865,2150,48437,0.874418605
62867,490,9730,0.87755102
62868,2280,45496,0.899122807
62869,2940,66488,0.880952381
62870,2230,44270,0.892376682
62871,650,16258,0.892307692
62872,1410,24545,0.914893617
62874,380,5176,0.921052632
62875,1330,30683,0.864661654
